pollster,methodology_2010,source
"ARG",Live,thesis_2010
"Anzalone-Liszt (D-DSCC)",Live,thesis_2010
"Anzalone-Liszt (D-Melancon)",Live,thesis_2010
"BPN (D-DSCC)",Live,thesis_2010
"BPN (D-Sestak)",Live,thesis_2010
"Baltimore Sun/OpinionWorks",Live,thesis_2010
"Basswood (R)/NRSC",Live,thesis_2010
"Benenson (D-Conway)",Live,thesis_2010
"Benenson (D-DSCC)",Live,thesis_2010
"Benenson (D-Lincoln)",Live,thesis_2010
"CBS/Times",Live,thesis_2010
"CN2 Politics/Braun",Live,thesis_2010
"CNN/Time",Live,thesis_2010
"CT Capitol Report/Merriman",IVR,thesis_2010
"Chicago Tribune",Live,thesis_2010
"Civitas Institute (R) / Tel Opinon (R)",Live,thesis_2010
"Civitas Institute / Tel Opinon (R)",Live,thesis_2010
"Civitas Institute/National Research (R)",Live,thesis_2010
"Civitas Institute/Tel Opinon (R)",Live,thesis_2010
"Craciun Research (D)",Live,thesis_2010
"Critical Insights",Live,thesis_2010
"DailyKos.com/PPP (D)",IVR,thesis_2010
"Dan Jones & Associates",Live,thesis_2010
"Davis, Hibbitts & Midghall",Live,thesis_2010
"Democracy Corps (D)",Live,thesis_2010
"Denver Post/SurveyUSA",IVR,thesis_2010
"Des Moines Register/Selzer",Live,thesis_2010
"Deseret Morning News",Live,thesis_2010
"Dittman (R)",Live,thesis_2010
"Elway",Live,thesis_2010
"FL Chamber of Commerce",Live,thesis_2010
"FM3 (D-Patriot Majority)",Live,thesis_2010
"FMMA (D-DSCC)",Live,thesis_2010
"FOX",IVR,thesis_2010
"Fabrizio, McLaughlin (R)",Live,thesis_2010
"Fairbank, Maslin, Maulin, Metz & Associates (D-DSCC)",Live,thesis_2010
"Fairleigh Dickinson",Live,thesis_2010
"Field",Live,thesis_2010
"Franklin and Marshall College",Live,thesis_2010
"Frederick Polls (Crist)",Live,thesis_2010
"Fulcrum (R-Kirk)",Live,thesis_2010
"GQR (D-Blumenthal)",Live,thesis_2010
"GQR (D-DSCC)",Live,thesis_2010
"GQR (D-Giannoulias)",Live,thesis_2010
"GQR/AmericanViewpoint",Live,thesis_2010
"GSG (D-Manchin)",Live,thesis_2010
"Garin Hart Yang (D-DSCC)",Live,thesis_2010
"Global Strategy Group (D)/MO Democratic Party",Live,thesis_2010
"Global Strategy Group (D-DGA)",Live,thesis_2010
"Gonzales Research",Live,thesis_2010
"GrassrootsPA (R) / Dane (R)",IVR,thesis_2010
"Grove Insight (D)",Live,thesis_2010
"Harstad (D-Bennet)",Live,thesis_2010
"Hays Research (D)",Live,thesis_2010
"Hays Research (D-DSCC)",Live,thesis_2010
"Hellenthal/Alaskans Standing Together",Live,thesis_2010
"Hendrix College",IVR,thesis_2010
"InsiderAdvantage",IVR,thesis_2010
"Ipsos",Live,thesis_2010
"Ipsos/Reuters",Live,thesis_2010
"Ivan Moore",Live,thesis_2010
"Lake (D-Marshall)",Live,thesis_2010
"Landmark Comm. (R)",IVR,thesis_2010
"Magellan (R)",IVR,thesis_2010
"Magellan (R-Kirk)",IVR,thesis_2010
"Marist",Live,thesis_2010
"Marist/McClatchy",Live,thesis_2010
"Marshall/Orion",Live,thesis_2010
"Mason-Dixon",Live,thesis_2010
"Mason-Dixon/Idaho Newspapers",Live,thesis_2010
"McLaughlin (R)/AIF",Live,thesis_2010
"Missouri State University /KOLR",Live,thesis_2010
"Monmouth/Gannett",Live,thesis_2010
"Moore Information (R-NRSC)",Live,thesis_2010
"Muhlenberg",Live,thesis_2010
"NYTimes Newspapers",Live,thesis_2010
"National Research/Club for Growth (R-Miller)",Live,thesis_2010
"New York Times",Live,thesis_2010
"Now Hampshire",Live,thesis_2010
"POS (R)",Live,thesis_2010
"POS (R) / FM3 (D)",Live,thesis_2010
"POS (R-Poizner)",Live,thesis_2010
"PPIC",Live,thesis_2010
"PPP (D)",IVR,thesis_2010
"PPP (D-Carnahan)",IVR,thesis_2010
"Pajamas Media (R)",IVR,thesis_2010
"PoliticsPA/Municipoll",IVR,thesis_2010
"Public Opinion Strategies (R)",Live,thesis_2010
"Quinnipiac",Live,thesis_2010
"R.L. Repass & Partners",Live,thesis_2010
"RBI (D)",Live,thesis_2010
"Rasmussen",IVR,thesis_2010
"Reuters/Ipsos",Live,thesis_2010
"Siena",Live,thesis_2010
"SoonerPoll.com",Live,thesis_2010
"Southern Illinois U",Live,thesis_2010
"Southern Media & Opinion Research/Lane Grigsby",Live,thesis_2010
"Southern Media/Opinion Research",Live,thesis_2010
"St Norbert",Live,thesis_2010
"Suffolk",Live,thesis_2010
"SurveyUSA",IVR,thesis_2010
"SurveyUSA/U of Delaware",IVR,thesis_2010
"Susquehanna",IVR,thesis_2010
"TCPalm.com/Zogby",Internet,thesis_2010
"Talk Business/Zata3 (D)",IVR,thesis_2010
"Tarrance (R-Fiorina/NRSC)",Live,thesis_2010
"UNH",Live,thesis_2010
"USC/LATimes",Live,thesis_2010
"UW Badger Poll",Live,thesis_2010
"University of Cincinnati",Live,thesis_2010
"VCR (R) / We The People",Live,thesis_2010
"Voter/Consumer Research",Live,thesis_2010
"Washington Post",Live,thesis_2010
"We Ask America",IVR,thesis_2010
"Wilson (R)",Live,thesis_2010
"Wilson Research (R)",Live,thesis_2010
"YouGov",Internet,thesis_2010
"YouGov/Polimetrix",Internet,thesis_2010
"Zogby",Internet,thesis_2010
